peptideId	arabi-defline
NO05G02190	myristoyl-CoA:protein N-myristoyltransferase
NO05G02220	3-deoxy-d-arabino-heptulosonate 7-phosphate synthase
NO05G02230	KU70 homolog
NO05G02240	high mobility group
NO05G02250	Mitochondrial substrate carrier family protein
NO05G02260	Radical SAM superfamily protein
NO05G02270	2Fe-2S ferredoxin-like superfamily protein
NO05G02280	Nucleotidyltransferase family protein
NO05G02290	ATP-dependent caseinolytic (Clp) protease/crotonase family protein
NO05G02300	Clathrin adaptor complexes medium subunit family protein
NO05G02360	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO05G02380	Pseudouridine synthase/archaeosine transglycosylase-like family protein
NO05G02390	ribosomal protein L11 methyltransferase-related
NO05G02400	5'-3' exonuclease family protein
NO05G02420	RNI-like superfamily protein
NO05G02430	ABC-2 type transporter family protein
NO05G02450	related to ubiquitin 1
NO05G02490	Protein kinase superfamily protein
NO05G02500	chromatin protein family
NO05G02520	chromatin protein family
NO05G02540	Serine carboxypeptidase S28 family protein
NO05G02550	heat shock protein 90.1
NO05G02560	L-O-methylthreonine resistant 1
NO05G02590	Tetratricopeptide repeat (TPR)-like superfamily protein
NO05G02600	RNA-binding protein-defense related 1
NO05G02620	histidinol dehydrogenase
NO05G02640	elongation factor family protein
NO05G02650	Sec1/munc18-like (SM) proteins superfamily
NO05G02670	26S proteasome, regulatory subunit Rpn7;Proteasome component (PCI) domain
NO05G02680	CLUB
NO05G02710	apurinic endonuclease-redox protein
NO05G02730	NAD(P)-binding Rossmann-fold superfamily protein
NO05G02750	6-phosphogluconate dehydrogenase family protein
NO05G02770	Protein kinase superfamily protein
NO05G02780	CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2043 (InterPro:IPR018610), ENTH/VHS (InterPro:IPR008942); Has 308 Blast hits to 279 proteins in 95 species: Archae - 2; Bacteria - 30; Metazoa - 120; Fungi - 19; Plants - 44; Viruses - 2; Other Eukaryotes - 91 (source: NCBI BLink).
NO05G02810	nodulin MtN21 /EamA-like transporter family protein
NO05G02820	IQ calmodulin-binding motif family protein
NO05G02840	diacylglycerol acyltransferase family
NO05G02850	DERLIN-2.1
NO05G02860	geranyl diphosphate synthase 1
NO05G02880	beta-ketoacyl reductase 1
NO05G02890	aspartate kinase 3
NO05G02900	pre-mRNA splicing factor-related
NO05G02910	tRNA (guanine-N-7) methyltransferase
NO05G02920	ATP phosphoribosyl transferase 1
NO05G02940	Ribosomal protein S5 domain 2-like superfamily protein
NO05G02950	RNA-binding protein-defense related 1
NO05G02960	RNA-binding (RRM/RBD/RNP motifs) family protein
NO05G02990	TatD related DNase
NO05G03000	Ribosomal protein S5/Elongation factor G/III/V family protein
NO05G03010	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein
NO05G03020	adenylate kinase family protein
NO05G03050	delta-adaptin
NO05G03080	RNA polymerase Rpb8
NO05G03110	small nuclear ribonucleoprotein F
NO05G03120	helicases;ATP-dependent helicases;nucleic acid binding;ATP binding;DNA-directed DNA polymerases;DNA binding
NO05G03130	unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G08270.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).
NO05G03140	phosphatase-related
NO05G03150	EXS (ERD1/XPR1/SYG1) family protein
NO05G03180	AMP-dependent synthetase and ligase family protein
NO05G03190	K+ efflux antiporter 5
NO05G03200	genomes uncoupled 1
NO05G03220	Pyridoxamine 5'-phosphate oxidase family protein
NO05G03230	SET domain group 37
NO05G03240	vacuolar iron transporter 1
NO05G03250	Tubulin/FtsZ family protein
NO05G03260	pyridoxin (pyrodoxamine) 5'-phosphate oxidase
NO05G03270	Ubiquitin family protein
NO05G03300	5'-3' exonuclease family protein
NO05G03310	TBP-associated factor 2
NO05G03320	peptide-N-glycanase 1
NO05G03330	binding;calmodulin binding
NO05G03340	RING/U-box superfamily protein
NO05G03350	Major facilitator superfamily protein
NO05G03370	exportin 1A
NO05G03380	Pseudouridine synthase family protein
NO05G03410	high-affinity nickel-transport family protein
NO05G03450	ubiquitin-associated (UBA)/TS-N domain-containing protein
NO05G03460	beta-ketoacyl reductase 2
NO05G03470	TATA binding protein 1
NO05G03520	ribosomal protein S15A
NO05G03530	enhancer of rudimentary protein, putative
NO05G03540	thioredoxin O1
NO05G03550	NOL1/NOP2/sun family protein / antitermination NusB domain-containing protein
NO05G03570	DC1 domain-containing protein
NO05G03580	PRP38 family protein
NO05G03610	Dihydrolipoamide acetyltransferase, long form protein
NO05G03630	gamma subunit of Mt ATP synthase
NO05G03640	centrin2
NO05G03690	alpha/beta-Hydrolases superfamily protein
NO05G03700	Nitrilase/cyanide hydratase and apolipoprotein N-acyltransferase family protein
NO05G03710	farnesylcysteine lyase
NO05G03720	Rubisco methyltransferase family protein
NO05G03750	histone-lysine N-methyltransferase ATXR2
NO05G03760	sulfoquinovosyldiacylglycerol 2
NO05G03780	Ribosomal protein L21
NO05G03790	Lactate/malate dehydrogenase family protein
NO05G03800	Nucleic acid-binding, OB-fold-like protein
NO05G03820	ATP-dependent Clp protease
NO05G03860	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: ubiquinone biosynthetic process; LOCATED IN: mitochondrion; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: COQ9 (InterPro:IPR013718), Ubiquinone biosynthesis protein COQ9 (InterPro:IPR012762); Has 748 Blast hits to 748 proteins in 260 species: Archae - 0; Bacteria - 218; Metazoa - 126; Fungi - 101; Plants - 39; Viruses - 0; Other Eukaryotes - 264 (source: NCBI BLink).
NO05G03880	Ribosomal protein L27 family protein
NO05G03910	carbamoyl phosphate synthetase B
NO05G03920	Translation initiation factor IF2/IF5
NO05G03930	protein kinase family protein
NO05G03950	pheophytinase
NO05G03970	cytochrome c oxidase 15
NO05G03980	Arv1-like protein
NO05G04020	Endoplasmic reticulum vesicle transporter protein
NO05G04050	unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G03055.1); Has 146 Blast hits to 146 proteins in 26 species: Archae - 0; Bacteria - 6; Metazoa - 0; Fungi - 0; Plants - 125; Viruses - 0; Other Eukaryotes - 15 (source: NCBI BLink).
NO05G04090	cofactor assembly of complex C
NO05G04110	stress-inducible protein, putative
NO05G04120	cytidinediphosphate diacylglycerol synthase 2
NO05G04140	serine carboxypeptidase-like 47
NO05G04190	RELA/SPOT homolog 1
NO05G04200	proteinaceous RNase P 1
NO05G04210	magnesium-protoporphyrin IX methyltransferase
NO05G04240	Protein of unknown function (DUF1336)
NO05G04250	cytochrome c oxidase 19-2
NO05G04260	Glycine cleavage T-protein family
NO05G04280	NAD(P)-binding Rossmann-fold superfamily protein
NO05G04320	stromal cell-derived factor 2-like protein precursor
NO05G04340	Protein kinase superfamily protein
NO05G04350	NAD(P)-binding Rossmann-fold superfamily protein
NO05G04380	nuclear factor Y, subunit B1
NO05G04410	NAD-dependent epimerase/dehydratase family protein
NO05G04420	NAD(P)-binding Rossmann-fold superfamily protein
NO05G04430	nudix hydrolase homolog 11
NO05G04440	NAD(P)H dehydrogenase B2
NO05G04460	transporter associated with antigen processing protein 2
NO05G04480	MAP kinase 4
NO05G04490	structural molecules
NO05G04540	Trypsin family protein with PDZ domain
NO05G04550	dihydrosphingosine phosphate lyase
NO05G04600	ACD1-like
NO05G04610	6-phosphogluconate dehydrogenase family protein
NO05G04620	arogenate dehydratase 2
NO05G04640	NAD(P)-binding Rossmann-fold superfamily protein
NO05G04650	ribosomal protein L3 plastid
NO05G04690	alpha/beta-Hydrolases superfamily protein
NO05G04700	63 kDa inner membrane family protein
NO05G04710	nonsense-mediated mRNA decay NMD3 family protein
NO05G04720	transcription factor-related
NO05G04750	syntaxin of plants 43
NO05G04760	ATP-binding cassette 14
NO05G04800	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO05G04810	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO05G04820	peroxin 6
NO05G04830	ATP-dependent caseinolytic (Clp) protease/crotonase family protein
NO05G04840	NIMA (never in mitosis, gene A)-related 6
NO05G04850	Protein of unknown function, DUF647
NO05G04870	Domain of unknown function (DUF1995)
NO05G04890	histone deacetylase 14
NO05G04910	chloride channel D
NO05G04920	glutathione reductase
NO05G04970	RNA-binding (RRM/RBD/RNP motifs) family protein
NO05G04980	binding;RNA binding
NO05G04990	binding;RNA binding
NO05G05010	Eukaryotic protein of unknown function (DUF872)
NO05G05020	unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).
NO05G05040	Sucrase/ferredoxin-like family protein
NO05G05050	Pyruvate kinase family protein
NO05G05060	ubiquitin-specific protease 25
NO05G05110	Cysteine proteinases superfamily protein
NO05G05130	chromatin-remodeling protein 11
NO05G05140	NADH-ubiquinone oxidoreductase B8 subunit, putative
NO05G05150	SRP72 RNA-binding domain
NO05G05160	Major facilitator superfamily protein
NO05G05170	TBP-associated factor 5
NO05G05200	Zinc finger, C3HC4 type (RING finger) family protein
NO05G05230	DHBP synthase RibB-like alpha/beta domain
NO05G05240	multidrug resistance-associated protein 2
NO05G05250	Ankyrin repeat family protein
NO05G05270	haloacid dehalogenase-like hydrolase family protein
NO05G05300	peptide met sulfoxide reductase 4
NO05G05310	catalytics
NO05G05330	CONTAINS InterPro DOMAIN/s: Nrap protein (InterPro:IPR005554); Has 396 Blast hits to 382 proteins in 182 species: Archae - 3; Bacteria - 2; Metazoa - 142; Fungi - 146; Plants - 43; Viruses - 0; Other Eukaryotes - 60 (source: NCBI BLink).
NO05G05340	Tetratricopeptide repeat (TPR)-like superfamily protein
NO05G05360	VACUOLAR SORTING RECEPTOR 7
NO05G05370	signal recognition particle 19 kDa protein, putative / SRP19, putative
NO05G05380	Protein of unknown function (DUF179)
NO05G05400	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO05G05410	Early-responsive to dehydration stress protein (ERD4)
NO06G00030	Copper amine oxidase family protein
NO06G00040	serine carboxypeptidase-like 50
NO06G00080	Clathrin adaptor complexes medium subunit family protein
NO06G00110	Leucine-rich repeat (LRR) family protein
NO06G00120	Fatty acid/sphingolipid desaturase
NO06G00130	Glutaredoxin family protein
NO06G00190	ARM repeat superfamily protein
NO06G00230	tubulin folding cofactor B
NO06G00240	shoot gravitropism 2 (SGR2)
NO06G00310	xanthine dehydrogenase 1
NO06G00330	ILITYHIA
NO06G00340	Small nuclear ribonucleoprotein family protein
NO06G00350	Ribosomal protein L12 family protein
NO06G00360	ubiquitin-specific protease 25
NO06G00380	Mnd1 family protein
NO06G00470	Biotin/lipoate A/B protein ligase family
NO06G00480	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO06G00490	Cobalamin biosynthesis CobW-like protein
NO06G00510	NADP-malic enzyme 2
NO06G00520	cytochrome c oxidase 10
NO06G00530	protein phosphatase 2A  subunit A3
NO06G00540	phragmoplast orienting kinesin 2
NO06G00560	general control non-repressible 5
NO06G00580	DNA/RNA polymerases superfamily protein
NO06G00620	Prenyltransferase family protein
NO06G00640	AMP-dependent synthetase and ligase family protein
NO06G00650	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO06G00660	SPX  domain gene 1
NO06G00680	Coatomer, alpha subunit
NO06G00690	Protein kinase family protein with ARM repeat domain
NO06G00700	Protein kinase family protein with ARM repeat domain
NO06G00720	DNAJ heat shock N-terminal domain-containing protein
NO06G00730	Ribosomal protein L11 family protein
NO06G00740	plant intracellular ras group-related LRR 5
NO06G00750	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: mitochondrial proton-transporting ATP synthase complex assembly; LOCATED IN: mitochondrial inner membrane; EXPRESSED IN: 18 plant structures; EXPRESSED DURING: 7 growth stages; CONTAINS InterPro DOMAIN/s: ATPase assembly factor ATP10, mitochondria (InterPro:IPR007849); Has 168 Blast hits to 168 proteins in 86 species: Archae - 6; Bacteria - 0; Metazoa - 2; Fungi - 107; Plants - 30; Viruses - 0; Other Eukaryotes - 23 (source: NCBI BLink).
NO06G00760	protochlorophyllide oxidoreductase C
NO06G00780	HIT-type Zinc finger family protein
NO06G00800	3-oxo-5-alpha-steroid 4-dehydrogenase family protein
NO06G00810	proteasome alpha subunit D2
NO06G00820	Pentatricopeptide repeat (PPR-like) superfamily protein
NO06G00840	chaperonin-60alpha
NO06G00890	CONTAINS InterPro DOMAIN/s: Nucleic acid-binding, OB-fold-like (InterPro:IPR016027), Protein of unknown function DUF171 (InterPro:IPR003750); Has 3649 Blast hits to 1964 proteins in 291 species: Archae - 113; Bacteria - 121; Metazoa - 1082; Fungi - 399; Plants - 227; Viruses - 4; Other Eukaryotes - 1703 (source: NCBI BLink).
NO06G00930	casein kinase II, alpha chain 2
NO06G00940	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein
NO06G00950	Asparagine synthase family protein
NO06G00960	RING/U-box superfamily protein
NO06G00980	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO06G00990	Molecular chaperone Hsp40/DnaJ family protein
NO06G01000	Paxneb protein-related
NO06G01020	dehydratase family
NO06G01030	stomatal cytokinesis defective / SCD1 protein (SCD1)
NO06G01040	Phosphoenolpyruvate carboxylase family protein
NO06G01060	phosphoglycerate kinase
NO06G01080	protein phosphatase 5.2
NO06G01090	Integral membrane HRF1 family protein
NO06G01100	O-acetylserine (thiol) lyase (OAS-TL) isoform A1
NO06G01110	ribosomal protein S1
NO06G01120	YEATS family protein
NO06G01130	Transducin/WD40 repeat-like superfamily protein
NO06G01140	Aldolase-type TIM barrel family protein
NO06G01180	magnesium ion binding;thiamin pyrophosphate binding;hydro-lyases;catalytics;2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthases
NO06G01190	glycosyl hydrolase 9B8
NO06G01200	Guanylate-binding family protein
NO06G01210	DNAJ heat shock N-terminal domain-containing protein
NO06G01230	zinc ion binding;nucleic acid binding;hydrolases, acting on acid anhydrides, in phosphorus-containing anhydrides
NO06G01280	L-fucokinase/GDP-L-fucose pyrophosphorylase
NO06G01310	Methylthiotransferase
NO06G01330	eukaryotic translation initiation factor 3G1
NO06G01340	FKBP-like peptidyl-prolyl cis-trans isomerase family protein
NO06G01350	DNAJ heat shock family protein
NO06G01370	ubiquitin-conjugating enzyme 23
NO06G01380	S-adenosylmethionine carrier 1
NO06G01400	FAD/NAD(P)-binding oxidoreductase family protein
NO06G01410	aminopeptidase M1
NO06G01440	SNF2 domain-containing protein / helicase domain-containing protein / F-box family protein
NO06G01450	putative mitochondrial RNA helicase 2
NO06G01470	alpha/beta-Hydrolases superfamily protein
NO06G01480	breast cancer susceptibility1
NO06G01500	multidrug resistance-associated protein 11
NO06G01510	geranyl diphosphate synthase 1
NO06G01540	XAP5 family protein
NO06G01550	U2 small nuclear ribonucleoprotein A
NO06G01570	Transducin family protein / WD-40 repeat family protein
NO06G01580	DIE2/ALG10 family
NO06G01600	SEC14-like 3
NO06G01610	phosducin-like protein 3 homolog
NO06G01620	Pheophorbide a oxygenase family protein with Rieske [2Fe-2S] domain
NO06G01630	plastidic pyruvate kinase beta subunit 1
NO06G01640	Ribosomal protein L6 family
NO06G01700	importin alpha isoform 1
NO06G01720	structural maintenance of chromosomes 2
NO06G01730	DNA replication helicase, putative
NO06G01840	isocitrate lyase
NO06G01850	Mitochondrial substrate carrier family protein
NO06G01860	HVA22-like protein J
NO06G01880	NAD+ transporter 1
NO06G01930	SWAP (Suppressor-of-White-APricot)/surp domain-containing protein
NO06G01960	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
NO06G01970	beta-D-xylosidase 4
NO06G01980	unknown protein; Has 212 Blast hits to 211 proteins in 96 species: Archae - 0; Bacteria - 6; Metazoa - 62; Fungi - 91; Plants - 31; Viruses - 0; Other Eukaryotes - 22 (source: NCBI BLink).
NO06G01990	RNA-binding (RRM/RBD/RNP motifs) family protein
NO06G02010	Protein phosphatase 2C family protein
NO06G02060	20S proteasome alpha subunit E1
NO06G02100	Histone H3 K4-specific methyltransferase SET7/9 family protein
NO06G02120	Transducin/WD40 repeat-like superfamily protein
NO06G02130	Ribosomal protein S27a / Ubiquitin family protein
NO06G02230	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO06G02240	DNAJ heat shock N-terminal domain-containing protein
NO06G02260	Spo11/DNA topoisomerase VI, subunit A protein
NO06G02270	INVOLVED IN: autophagy; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Autophagy-related protein 17 (InterPro:IPR007240), Autophagy-related protein 11 (InterPro:IPR019460); Has 8793 Blast hits to 6268 proteins in 570 species: Archae - 89; Bacteria - 657; Metazoa - 4844; Fungi - 808; Plants - 441; Viruses - 15; Other Eukaryotes - 1939 (source: NCBI BLink).
NO06G02280	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
NO06G02300	DNA mismatch repair protein MutS, type 2
NO06G02310	Ribosomal protein L14p/L23e family protein
NO06G02340	RNApolymerase sigma-subunit C
NO06G02350	Got1/Sft2-like vescicle transport protein family
NO06G02360	BolA-like family protein
NO06G02380	Metallopeptidase M24 family protein
NO06G02410	Actin-like ATPase superfamily protein
NO06G02430	RNApolymerase 14 kDa subunit
NO06G02450	isopropyl malate isomerase large subunit 1
NO06G02460	Got1/Sft2-like vescicle transport protein family
NO06G02500	oxidoreductase, 2OG-Fe(II) oxygenase family protein
NO06G02510	ABC2 homolog 13
NO06G02530	Amidase family protein
NO06G02540	Tyrosine transaminase family protein
NO06G02560	proliferating cell nuclear antigen 2
NO06G02570	Small nuclear ribonucleoprotein family protein
NO06G02620	ERD (early-responsive to dehydration stress) family protein
NO06G02630	protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform
NO06G02650	proteolysis 6
NO06G02680	NAD(P)-binding Rossmann-fold superfamily protein
NO06G02690	NAD(P)-binding Rossmann-fold superfamily protein
NO06G02700	tubby like protein 11
NO06G02710	stress-inducible protein, putative
NO06G02720	ATP binding microtubule motor family protein
NO06G02740	Amino acid dehydrogenase family protein
NO06G02750	DHHC-type zinc finger family protein
NO06G02760	alpha/beta-Hydrolases superfamily protein
NO06G02770	SNF1-related protein kinase 1.3
NO06G02780	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: nucleus; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Digestive organ expansion factor, predicted (InterPro:IPR010678); Has 25006 Blast hits to 13379 proteins in 904 species: Archae - 102; Bacteria - 5571; Metazoa - 7448; Fungi - 3168; Plants - 1056; Viruses - 466; Other Eukaryotes - 7195 (source: NCBI BLink).
NO06G02800	ATP-binding cassette A1
NO06G02810	GroES-like zinc-binding alcohol dehydrogenase family protein
NO06G02830	squalene synthase 1
NO06G02840	cell division control 2
NO06G02850	ATPase family associated with various cellular activities (AAA) 
NO06G02870	Prolyl oligopeptidase family protein
NO06G02880	myb domain protein 118
NO06G02900	regulatory particle non-ATPase 10
NO06G02910	Melibiase family protein
NO06G02920	heat shock protein 101
NO06G02950	NAD(P)-binding Rossmann-fold superfamily protein
NO06G02960	HAL3-like protein A
NO06G02970	decoy
NO06G02980	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2363 (InterPro:IPR019312); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).
NO06G03010	integral membrane TerC family protein
NO06G03030	multidrug resistance-associated protein 2
NO06G03260	transducin family protein / WD-40 repeat family protein
NO06G03270	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO06G03290	villin 2
NO06G03310	U2 snRNP auxiliary factor small subunit, putative
NO06G03330	Protein phosphatase 2C family protein
NO06G03340	TIP41-like family protein
NO06G03370	Ubiquitin-like superfamily protein
NO06G03380	ABC transporter family protein
NO06G03390	3-hydroxyacyl-CoA dehydrogenase family protein
NO06G03400	PSF2
NO06G03500	Flavodoxin family protein
NO06G03510	phosphofructokinase 6
NO06G03550	Mitochondrial substrate carrier family protein
NO06G03560	Enoyl-CoA hydratase/isomerase family
NO06G03580	ATPase, V0/A0 complex, subunit C/D
NO06G03600	fumarase 1
NO06G03630	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO06G03640	alpha/beta-Hydrolases superfamily protein
NO06G03650	ADP-ribosylation factor B1B
NO06G03670	chromatin remodeling 5
NO06G03680	CSL zinc finger domain-containing protein
NO06G03690	PHD finger family protein
NO06G03700	flower-specific, phytochrome-associated protein phosphatase 3
NO06G03710	ataurora1
NO06G03720	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO06G03740	Peptidase family M48 family protein
NO06G03750	zinc finger (CCCH-type) family protein
NO06G03760	tRNA synthetase class I (I, L, M and V) family protein
NO06G03770	exocyst complex component sec3B
NO06G03800	MEI2-like protein 1
NO06G03810	Succinyl-CoA ligase, alpha subunit
NO06G03820	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO06G03830	UB-like protease 1A
NO06G03850	TLD-domain containing nucleolar protein
NO06G03880	RING/FYVE/PHD zinc finger superfamily protein
NO06G03890	aldehyde dehydrogenase 5F1
NO06G03900	NAD(P)-binding Rossmann-fold superfamily protein
NO06G03910	cytochrome P450, family 97, subfamily A, polypeptide 3
NO06G03940	Ribosomal protein S3 family protein
NO06G03960	Inositol monophosphatase family protein
NO06G03970	AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein
NO06G04000	metacaspase 2
NO06G04050	Got1/Sft2-like vescicle transport protein family
NO06G04070	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO06G04080	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO06G04090	diaminopimelate epimerase family protein
NO06G04100	Ferritin/ribonucleotide reductase-like family protein
NO06G04120	phosphoglycerate kinase
NO06G04150	pseudouridine synthase family protein
NO06G04170	COP9-signalosome 5B
NO06G04230	Ribosomal protein S5 domain 2-like superfamily protein
NO06G04250	homolog of RAD51 D
NO06G04260	phospholipase D P1
NO06G04290	unknown protein; LOCATED IN: apoplast, chloroplast stroma, chloroplast, chloroplast envelope; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; Has 81 Blast hits to 81 proteins in 28 species: Archae - 0; Bacteria - 2; Metazoa - 0; Fungi - 0; Plants - 62; Viruses - 0; Other Eukaryotes - 17 (source: NCBI BLink).
NO06G04300	pyrimidine d
NO06G04310	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
NO06G04320	60S acidic ribosomal protein family
NO06G04330	S-adenosylmethionine carrier 2
NO06G04350	Ribosomal protein S8e family protein
NO06G04380	NAD(P)-binding Rossmann-fold superfamily protein
NO06G04400	pfkB-like carbohydrate kinase family protein
NO06G04410	Transmembrane amino acid transporter family protein
NO06G04430	Coproporphyrinogen III oxidase
NO06G04480	UDP-Glycosyltransferase superfamily protein
NO06G04510	ketose-bisphosphate aldolase class-II family protein
NO06G04530	Thioredoxin superfamily protein
NO06G04540	Sec23/Sec24 protein transport family protein
NO06G04560	BED zinc finger ;hAT family dimerisation domain
NO06G04570	BED zinc finger ;hAT family dimerisation domain
NO06G04640	PIF1 helicase
NO06G04690	PIF1 helicase
NO06G04740	PIF1 helicase
NO07G00030	farnesylated protein-converting enzyme 2
NO07G00040	Cysteine proteinases superfamily protein
NO07G00070	NOT2 / NOT3 / NOT5 family
NO07G00080	Purple acid phosphatases superfamily protein
NO07G00140	Protein phosphatase 2C family protein
NO07G00170	multidrug resistance-associated protein 9
NO07G00180	lon protease 2
NO07G00200	Galactose oxidase/kelch repeat superfamily protein
NO07G00230	ATPase, F0/V0 complex, subunit C protein
NO07G00250	Thioredoxin superfamily protein
NO07G00290	Protein of unknown function (DUF962)
NO07G00350	Late embryogenesis abundant protein (LEA) family protein
NO07G00410	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 19 plant structures; EXPRESSED DURING: 11 growth stages; Has 309 Blast hits to 256 proteins in 99 species: Archae - 0; Bacteria - 11; Metazoa - 192; Fungi - 12; Plants - 36; Viruses - 0; Other Eukaryotes - 58 (source: NCBI BLink).
NO07G00460	DNA polymerase delta small subunit
NO07G00480	Phosphotyrosine protein phosphatases superfamily protein
NO07G00510	serine acetyltransferase 3;2
NO07G00530	Cleavage and polyadenylation specificity factor (CPSF) A subunit protein
NO07G00550	CBL-interacting protein kinase  17
NO07G00560	TCP-1/cpn60 chaperonin family protein
NO07G00610	BEL1-like homeodomain 10
NO07G00620	Putative lysine decarboxylase family protein
NO07G00640	transferases;tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferases
NO07G00660	cullin-associated and neddylation dissociated
NO07G00670	cullin-associated and neddylation dissociated
NO07G00680	FAD-dependent oxidoreductase family protein
NO07G00730	Minichromosome maintenance (MCM2/3/5) family protein
NO07G00740	ARM repeat superfamily protein
NO07G00760	Eukaryotic aspartyl protease family protein
NO07G00770	TBP-associated factor 12
NO07G00800	type one serine/threonine protein phosphatase 3
NO07G00830	mitogen-activated protein kinase phosphatase 1
NO07G00840	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO07G00870	ATPase family associated with various cellular activities (AAA) 
NO07G00880	unknown protein; FUNCTIONS IN: molecular_function unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).
NO07G00890	Calcium-dependent lipid-binding (CaLB domain) family protein
NO07G00920	GTP binding
NO07G00950	general control non-repressible 3
NO07G00960	LMBR1-like membrane protein
NO07G00970	general control non-repressible 5
NO07G01030	Sec14p-like phosphatidylinositol transfer family protein
NO07G01050	actin-related protein 4
NO07G01070	transcription regulators
NO07G01080	haloacid dehalogenase (HAD) superfamily protein
NO07G01090	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO07G01100	ARM repeat superfamily protein
NO07G01110	transferases, transferring glycosyl groups
NO07G01140	PETER PAN-like protein
NO07G01150	sulfoquinovosyldiacylglycerol 1
NO07G01170	glutathione synthetase 2
NO07G01180	KRR1 family protein
NO07G01230	ubiquitin-conjugating enzyme 32
NO07G01240	imidazoleglycerol-phosphate dehydratase
NO07G01250	geminivirus rep interacting kinase 1
NO07G01260	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: vacuole; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Histone H4 acetyltransferase, NuA4 complex, Eaf6 (InterPro:IPR015418); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).
NO07G01290	ARM repeat superfamily protein
NO07G01300	Peptidase M28 family protein
NO07G01310	ATPase, F1 complex, delta/epsilon subunit
NO07G01320	SAC3/GANP/Nin1/mts3/eIF-3 p25 family
